Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name
20160129,1,2,40,2,71,10,-4.41426146,7.4,Provide economic aid
20160130,1,2,30,2,10,4,-2.985074627,0,"Make statement, not specified below"
20160130,1,2,11,2,20,6,-2.100840336,3,"Make an appeal or request, not specified below"
20160201,1,2,15,2,12,6,0,-0.4,Make pessimistic comment
20160201,1,2,40,2,43,3,3.4,2.8,Host a visit
20160201,1,2,41,2,51,8,5.152838428,3.4,Praise or endorse
20160202,1,2,13,2,12,4,-1.255230126,-0.4,Make pessimistic comment
20160202,1,2,23,2,12,6,-1.255230126,-0.4,Make pessimistic comment
20160202,1,2,14,2,50,3,1.951219512,3.5,"Engage in diplomatic cooperation, not specified below"
20160203,1,2,23,2,26,2,-3.366336634,4,Appeal to others to meet or negotiate
20160203,1,2,5,2,71,10,9.018154187,7.4,Provide economic aid
20160204,1,2,23,2,40,10,-3.059273423,1,"Consult, not specified below"
20160204,1,2,41,2,40,2,1.129943503,1,"Consult, not specified below"
20160204,1,2,23,2,46,10,-3.059273423,7,Engage in negotiation
20160204,1,2,14,2,71,1,-3.414634146,7.4,Provide economic aid
20160205,1,2,23,2,30,1,0.393907563,4,"Express intent to cooperate, not specified below"
20160205,1,2,23,2,51,1,0.393907563,3.4,Praise or endorse
20160205,1,2,23,2,57,10,0.856389987,8,Sign formal agreement
20160206,1,2,14,2,12,2,-1.805869074,-0.4,Make pessimistic comment
20160208,1,2,10,2,122,2,-2.222222222,-4,"Reject request or demand for material aid, not specified below"
20160208,1,2,12,2,12,2,-0.480769231,-0.4,Make pessimistic comment
20160208,1,2,14,2,12,2,-1.712779974,-0.4,Make pessimistic comment
20160208,1,2,13,2,43,6,2.830188679,2.8,Host a visit
20160208,1,2,3,2,111,5,1.398601399,-2,Criticize or denounce
20160209,1,2,9,2,20,6,1.932045303,3,"Make an appeal or request, not specified below"
20160209,1,2,14,2,20,1,0.884955752,3,"Make an appeal or request, not specified below"
20160209,1,2,45,2,20,4,-0.179533214,3,"Make an appeal or request, not specified below"
20160209,1,2,5,2,36,10,0.985221675,4,Express intent to meet or negotiate
20160209,1,2,41,2,36,3,4.473304473,4,Express intent to meet or negotiate
20160209,1,2,8,2,51,4,0.710900474,3.4,Praise or endorse
20160210,1,2,35,2,16,10,-4.761904762,-2,Deny responsibility
20160210,1,2,27,2,10,10,0.414364641,0,"Make statement, not specified below"
20160210,1,2,5,2,30,12,3.972282297,4,"Express intent to cooperate, not specified below"
20160210,1,2,27,2,40,10,3.807106599,1,"Consult, not specified below"
20160210,1,2,5,2,51,10,-0.086430424,3.4,Praise or endorse
20160210,1,2,35,2,112,10,-4.761904762,-2,"Accuse, not specified below"
20160211,1,2,23,2,73,3,-2.435530086,7.4,Provide humanitarian aid
20160211,1,2,42,2,1711,10,-1.092896175,-9.2,Confiscate property
20160211,1,2,27,2,10,1,-0.574712644,0,"Make statement, not specified below"
20160211,1,2,5,2,20,2,-4.519774011,3,"Make an appeal or request, not specified below"
20160211,1,2,22,2,20,1,-3.795339899,3,"Make an appeal or request, not specified below"
20160211,1,2,14,2,42,3,-2.641802642,1.9,Make a visit
20160211,1,2,8,2,46,4,2.991026919,7,Engage in negotiation
20160211,1,2,40,2,46,10,-1.538461538,7,Engage in negotiation
20160211,1,2,8,2,71,2,1.428571463,7.400000095,Provide economic aid
20160211,1,2,14,2,120,3,-2.641802642,-4,"Reject, not specified below"
20160211,1,2,23,2,120,2,-0.31152648,-4,"Reject, not specified below"
20160212,1,2,23,2,73,15,-2.239940063,7.4,Provide humanitarian aid
20160212,1,2,31,2,10,8,4.415011038,0,"Make statement, not specified below"
20160212,1,2,14,2,46,8,-1.928933978,7,Engage in negotiation
20160212,1,2,23,2,111,6,-1.023890785,-2,Criticize or denounce
20160213,1,2,40,2,40,3,-3.118752499,1,"Consult, not specified below"
20160213,1,2,40,2,51,6,-2.947086403,3.4,Praise or endorse
20160213,1,2,5,2,61,6,1.428571429,6.4,Cooperate economically
20160214,1,2,27,2,40,10,3.926096998,1,"Consult, not specified below"
20160214,1,2,23,2,71,1,-1.340482574,7.4,Provide economic aid
20160215,1,2,30,2,10,8,-0.44576523,0,"Make statement, not specified below"
20160215,1,2,43,2,20,10,-1.013513514,3,"Make an appeal or request, not specified below"
20160215,1,2,8,2,46,4,3.862660944,7,Engage in negotiation
20160215,1,2,39,2,46,4,2.638522427,7,Engage in negotiation
20160216,1,2,31,2,170,6,-2.164502165,-7,"Coerce, not specified below"
20160216,1,2,27,2,43,6,0,2.8,Host a visit
20160216,1,2,5,2,51,20,-1.16929606,3.4,Praise or endorse
20160217,1,2,23,2,186,10,1.744186047,-10,Assassinate
20160217,1,2,12,2,40,6,2.479338843,1,"Consult, not specified below"
20160217,1,2,32,2,57,6,1.069518717,8,Sign formal agreement
20160217,1,2,9,2,60,6,2.105263158,6,"Engage in material cooperation, not specified below"
20160217,1,2,12,2,120,20,4.841997961,-4,"Reject, not specified below"
20160218,1,2,40,2,20,20,0.132890893,3,"Make an appeal or request, not specified below"
20160218,1,2,12,2,40,6,2.535925613,1,"Consult, not specified below"
20160218,1,2,35,2,42,6,2.005730659,1.9,Make a visit
20160218,1,2,43,2,43,12,0.53859967,2.799999952,Host a visit
20160218,1,2,42,2,51,10,1.301115242,3.4,Praise or endorse
20160218,1,2,44,2,51,1,1.652892562,3.4,Praise or endorse
20160218,1,2,8,2,71,10,1.092896175,7.4,Provide economic aid
20160219,1,2,23,2,42,2,3.649635036,1.9,Make a visit
20160221,1,2,40,2,13,2,-1.572327044,0.4,Make optimistic comment
20160221,1,2,35,2,14,3,7.531380753,0,Consider policy option
20160222,1,2,26,2,42,6,-0.856531049,1.9,Make a visit
20160222,1,2,5,2,51,10,-1.067615628,3.400000095,Praise or endorse
20160222,1,2,23,2,51,2,10.12658228,3.4,Praise or endorse
20160222,1,2,40,2,51,1,-1.312335958,3.4,Praise or endorse
20160222,1,2,23,2,100,4,0.704225352,-5,"Demand, not specified below"
20160223,1,2,40,2,46,10,0.524934411,7,Engage in negotiation
20160223,1,2,44,2,46,2,0.524934411,7,Engage in negotiation
20160223,1,2,40,2,51,4,0.92348285,3.4,Praise or endorse
20160224,1,2,40,2,33,4,-0.493015612,5.2,"Express intent to provide material aid, not specified below"
20160224,1,2,40,2,46,10,0.872093023,7,Engage in negotiation
20160224,1,2,14,2,60,2,4.10122164,6,"Engage in material cooperation, not specified below"
20160225,1,2,21,2,192,4,-3.036437273,-9.5,Occupy territory
