Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale
20150613,1,2,20,1,112,6,-1.27298444130127,-2.0
20150613,1,2,31,1,020,10,0.26690391459075,3.0
20150616,1,2,2,1,040,10,3.13479623824452,1.0
20150616,1,2,2,1,046,10,3.13479623824452,7.0
20150616,1,2,8,1,013,1,3.7598944591029,0.4
20150617,1,2,23,1,012,6,-0.17667844522968,-0.4
20150618,1,2,5,1,043,5,-2.41884150222788,2.8
20150618,1,2,23,1,051,1,7.2463768115942,3.4
20150619,1,2,13,1,036,10,1.95227765726681,4.0
20150619,1,2,16,1,043,6,2.96610169491525,2.8
20150620,1,2,31,1,071,6,-4.82290881688018,7.4
20150621,1,2,13,1,020,2,-0.60975609756098,3.0
20150621,1,2,23,1,020,8,1.47058823529411,3.0
20150622,1,2,11,1,020,10,2.56410256410256,3.0
20150622,1,2,23,1,010,2,1.33779264214047,0.0
20150622,1,2,25,1,112,8,-9.88142292490122,-2.0
20150623,1,2,11,1,020,10,2.9126213592233,3.0
20150623,1,2,13,1,012,2,-1.45985401459854,-0.4
20150623,1,2,14,1,010,2,-0.39370078740157,0.0
20150625,1,2,23,1,046,3,0.50761421319797,7.0
20150625,1,2,24,1,040,24,0.573615164792675,1.0
20150625,1,2,26,1,020,2,1.5625,3.0
20150625,1,2,27,1,100,10,1.32275132275132,-5.0
20150626,1,2,8,1,111,10,-6.19390441256201,-2.0
20150626,1,2,8,1,173,1,-9.77542932628793,-5.0
20150626,1,2,8,1,190,6,-1.32743362831858,-10.0
20150626,1,2,13,1,111,6,-5.42763157894737,-2.0
20150626,1,2,23,1,043,1,4.68384074941452,2.8
20150626,1,2,24,1,040,6,1.15163147792707,1.0
20150626,1,2,33,1,111,2,-5.96330275229358,-2.0
20150627,1,2,8,1,111,2,-8.00722456351595,-2.0
20150627,1,2,8,1,190,10,-6.74157303370786,-10.0
20150628,1,2,8,1,190,10,-6.45161290322581,-10.0
20150628,1,2,24,1,040,10,-0.42735042735043,1.0
20150628,1,2,35,1,036,6,-2.55591054313099,4.0
20150629,1,2,5,1,071,8,4.23280423280423,7.4
20150629,1,2,23,1,042,3,-0.0525210084033603,1.9
20150629,1,2,24,1,040,10,-1.85873605947956,1.0
20150630,1,2,20,1,010,2,2.44072524407253,0.0
20150630,1,2,24,1,040,10,-3.98230088495575,1.0
20150702,1,2,8,1,186,10,-1.71755725190839,-10.0
20150702,1,2,32,1,173,6,2.03562340966921,-5.0
20150703,1,2,2,1,040,8,-5.05548705302096,1.0
20150704,1,2,5,1,040,6,2.39445494643983,1.0
20150706,1,2,2,1,042,4,-1.07816711590297,1.9
20150706,1,2,14,1,017,1,1.64473684210527,0.0
20150706,1,2,27,1,112,6,-4.18410041841005,-2.0
20150707,1,2,5,1,010,1,9.06976744186047,0.0
20150707,1,2,12,1,026,2,-0.48275862068965,4.0
20150707,1,2,23,1,052,1,-0.67950169875424,3.5
20150708,1,2,5,1,010,1,8.69565217391304,0.0
20150708,1,2,5,1,020,10,-2.78940027894003,3.0
20150708,1,2,23,1,071,5,1.1997600479904,7.4
20150708,1,2,38,1,042,6,-0.68285280728376,1.9
20150708,1,2,38,1,043,6,-0.68285280728376,2.8
20150709,1,2,5,1,040,2,-0.85606269102075,1.0
20150709,1,2,12,1,036,10,-4.89795918367347,4.0
20150709,1,2,23,1,010,1,0.0,0.0
20150709,1,2,23,1,036,6,1.66666666666667,4.0
20150710,1,2,2,1,043,3,2.87433155080214,2.8
20150710,1,2,9,1,010,1,1.85701021355617,0.0
20150710,1,2,12,1,042,6,4.28571428571429,1.9
20150710,1,2,14,1,030,5,2.40700218818381,4.0
20150713,1,2,16,1,036,10,0.63694267515923,4.0
20150713,1,2,16,1,043,10,0.63694267515923,2.8
20150713,1,2,28,1,017,8,0.0,0.0
20150714,1,2,11,1,020,10,2.5414364640884,3.0
20150714,1,2,40,1,040,3,3.91891891891891,1.0
20150716,1,2,27,1,192,10,-4.21455938697318,-9.5
20150716,1,2,30,1,043,1,-1.97190707725554,2.8
20150717,1,2,19,1,071,2,-0.83507306889353,7.4
20150717,1,2,23,1,040,12,2.04081632653061,1.0
20150717,1,2,23,1,043,6,2.04081632653061,2.8
20150717,1,2,27,1,190,3,-0.49382716049383,-10.0
20150718,1,2,19,1,071,2,-0.43763676148796,7.4
20150719,1,2,5,1,090,3,-3.90804597701149,-2.0
20150719,1,2,24,1,036,8,-3.43642611683849,4.0
20150720,1,2,14,1,055,5,-2.33463035019456,7.0
20150721,1,2,19,1,043,4,1.17131904308115,2.8
20150721,1,2,39,1,051,4,5.43478260869565,3.4
20150722,1,2,2,1,040,5,-0.83472454090151,1.0
20150722,1,2,5,1,112,10,-0.39748261013581,-2.0
20150722,1,2,9,1,040,10,4.31034482758621,1.0
20150723,1,2,2,1,040,5,-1.04166666666667,1.0
20150723,1,2,8,1,112,10,-2.85204991087344,-2.0
20150723,1,2,23,1,010,5,0.90361445783133,0.0
20150724,1,2,23,1,090,10,1.69491525423729,-2.0
20150726,1,2,8,1,042,1,-1.35122230710466,1.9
20150727,1,2,8,1,112,10,-5.45454545454546,-2.0
20150727,1,2,10,1,051,6,-2.72727272727273,3.4
20150727,1,2,13,1,014,3,-2.74509803921569,0.0
20150727,1,2,13,1,016,5,0.0,-2.0
20150727,1,2,45,1,010,2,0.79051383399209,0.0
20150728,1,2,30,1,043,1,-2.10218201170836,2.8
20150728,1,2,45,1,190,4,-5.91798695246971,-10.0
20150729,1,2,23,1,042,1,-1.04166666666666,1.9
20150730,1,2,22,1,046,6,-2.23880597014926,7.0
